m/z;Intensity
201.021;32
201.0344;201
201.0402;2476
201.0522;298.3
201.0765;4794.4
201.0876;340.5
201.0957;89.4
201.1129;5321.2
201.1323;26
201.1491;43.9
201.1704;62.9
201.1721;57.8
201.1884;14.9
201.2037;22.5
201.2221;20.9
201.2279;31.5
201.3007;32.3
201.3063;40.8
201.5095;26.2
201.5264;23.5
201.557;34.6
201.7367;28.7
201.7391;23.2
201.7423;23
201.748;26.7
201.8278;44.1
201.8533;38.4
201.9722;20.3
202.0046;28
202.0289;1140
202.0353;322.8
202.0617;40.9
202.0718;11234.4
202.0869;31.4
202.0978;37.4
202.1082;47019.2
202.1319;21.6
202.1555;34.2
202.196;34.1
202.2225;27.5
202.2371;26.9
202.2633;25.9
202.2709;20.3
202.2906;37.3
202.3338;30.5
202.3883;22.5
202.4263;33.3
202.4697;27.8
202.4938;19.6
202.5447;31.8
202.5643;22.3
202.637;17.4
202.6551;20.3
202.668;29.5
202.6807;57.4
202.7027;32.1
202.8165;52.2
202.932;24
202.9638;24.4
203.0016;35.4
203.0089;4583.6
203.0195;32.7
203.0559;5663.5
203.0671;5998.9
203.075;29.2
203.0922;817.2
203.1115;2491.7
203.1293;51.8
203.1489;34.2
203.2065;25.5
203.2409;32.4
203.3971;65.1
203.4235;29.6
203.4458;57.2
203.4574;21.7
203.6115;28
203.6363;44.3
203.7049;30.6
203.7339;30.9
203.8579;33.5
203.8849;37.1
204.0038;46.3
204.0427;179.9
204.0559;28.5
204.0696;1199.6
204.1057;38.4
204.2232;21.1
204.3704;50.9
204.3955;27.6
204.4889;24.6
204.5271;17.7
204.5355;32.7
204.6889;34.7
204.7405;20.6
204.8742;32.6
204.9057;35.6
204.9283;31
204.9408;34.6
204.9783;33.5
204.9883;1972.2
204.9987;81.3
205.0061;598.1
205.0351;17689.3
205.0537;26.2
205.0714;299.9
205.1054;25.9
205.1234;91.6
205.1689;29
205.1807;21.4
205.2076;30
205.2249;23.7
205.2853;35.3
205.3008;32.4
205.3326;30.9
205.3816;29.9
205.3954;21.9
205.4202;27.7
205.623;62.1
205.8515;24.8
205.9226;27.1
206.037;50.1
206.0614;25.4
206.0638;34.6
206.0656;27.3
206.082;3482.3
206.1293;20.3
206.1434;29.8
206.1511;36.6
206.1895;23
206.2574;30.5
206.2733;120.3
206.3162;33.1
